Contador,Sitio,Número Catalogo,Región,Departamento,Municipio,Vereda,Latitud,Longitud,Altitud,Héctareas valor mayor,Héctareas valor menor,Plancha,Escala,Contextos,Descripción,Restos Fauna,Restos Oseos,Restos Botánicos,Analisis de Suelos,Polen,Cerámica,Líticos,Tipos cerámicos,Referencia,Multicomponente
114,El Morro,113,Costa Pacífica,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,"Bouchard, 1983",FALSE
115,El Palmar,114,Peninsula de la Guajira y corredor del Cesar,,,,10.920,-72.820,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Ardila, 1983",FALSE
116,El Parador,115,Alto Magdalena,,,,1.92049312,-76.24759607,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Cubillos,1980",FALSE
117,El Pital,116,Valles alto Calima y alto y medio del Cauca,,,,3.83,-76.60,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,"Salgado, 1986;1989;1995; Salgado; Osorio & Gutierrez 1986; Cardale, 1986; Cardale; Bray & Herrera 1989; Herrera;  Bray; Cardale & Botero 1992; Gnecco & Salgado 1989.",FALSE
118,El Pozón,117,Llanuras del Caribe cuencas bajas Sinú y San Jorge,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Plazas, & Falchetti 1986",FALSE
119,El Prodigio,118,Magdalena medio,Tolima,Chaparral,El limon,3.655051578,-75.6406405,1800,,,,,,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,Cerámica Buga,"Rodríguez, 1989; 1991,1995.",TRUE
120,El Ranchito,119,Macizo Antioqueño,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Piazzini 1993; Castillo, 1992",FALSE
121,El Recreo,120,Valles alto Calima y alto y medio del Cauca,,,,3.85955,-76.49560,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Herrera, et al. 1992; Herrera; Cardale & Bray 1990; Gnecco & Salgado 1989;",FALSE
122,El Rosario,121,Valles alto Calima y alto y medio del Cauca,,,,3.4914,-76.0034,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Forero, 1993",FALSE
123,El Tamarindo,122,Costa Pacífica,,,,2.774795419,-77.6662786,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,"Patiño, 1987;1988.",FALSE
