"Sitio",Región,Referencia,Latitud,Longitud,Cacicazgos,Formativo,Colonial,Paleoindio,Republicano,Total,Fechas
"El Abra","Altiplano Cundiboyacense","Correal; Van Der Hammen & Hurt 1977; Hurt 1967-69, Hurt et al. 1976.",5.017358,-73.9512035.017358,2,0,1,8,0,11,-9260; -7390; -7375; -7100; -7075; -6950; -6810; -5300; 1445; 1455; 1610
"Abeja","Tierras bajas orientales","Herrera et al. 1987; 1989; 1992; 1992; Mora et al 1991;1988; 1990. Llanos 1995; 1997; Mora 2001",-0.577491,-72.399477,6,2,0,0,0,8,-2695; -2380; 385; 535; 620; 630; 940; 1175
"Acacías A-2","Tierras bajas orientales","Mora, & Cavelier, 1983; 1987",3.939958,-73.826519,0,0,0,0,0,0,
"Agualinda","Valles alto Calima y alto y medio del Cauca","Bray, et al. 1983",3.830738888,-76.5157305,1,0,0,0,0,1,-80
"Aguazuque I","Altiplano Cundiboyacense","Correal, 1990",4.612809874,-74.28007692,0,3,0,0,0,3,-3045; -1870; -775
"Almacafé","Valles alto Calima y alto y medio del Cauca","Cardale; Bray &  Herrera 1989; Rodríguez 1988-1990",3.910,-76.320,1,0,0,0,0,1,1360
"Alto de Las Piedras","Alto Magdalena","Duque, & Cubillos, 1993",1.975570129,-76.17684079,2,1,0,0,0,3,-800; -190; 0
"Alto de los Idolos","Alto Magdalena","Reichel-Dolmatoff, 1972; Duque, & Cubillos, 1979",1.917688391,-76.24445204,5,0,0,0,0,5,-40; 20; 140; 330; 570
"Alto de Mira","Sierra Nevada","Ardila, 1984-85; 1986",11.0114416,-73.878972,2,0,0,0,0,2,1350; 1400
"Alto del Lavapatas","Alto Magdalena","Duque & Cubillos, 1988",1.880913659,-76.30548952,2,3,0,0,0,5,-3300; -680; -555; 85; 930
"Angosturas","Tierras bajas orientales","López, 1993",2.18,-73.7,1,0,0,0,0,1,280
"Araracuara 15","Tierras bajas orientales","Herrera, et al. 1980-1981; Cavelier, et al 1990",-0.619749126,-72.3922765,6,0,0,0,0,6,150; 470; 530; 805; 830; 1245
"Araracuara 21","Tierras bajas orientales","Herrera, et al. 1980-1981; Cavelier, et al 1990",-0.607633894,-72.39236336,1,0,0,0,0,1,135
"Araracuara 22","Tierras bajas orientales","Herrera, et al. 1980-1981; Cavelier, et al 1990",-0.609803452,-72.39371102,1,0,0,0,0,1,260
"Araracuara 25","Tierras bajas orientales","Andrade, 1986; Cavelier, et al 1990",-0.5989527,-72.3995472,0,1,0,0,0,1,-790
"Araracuara 26","Tierras bajas orientales","Andrade, 1986; Cavelier, et al 1990",-0.5917194,-72.4031361,1,0,0,0,0,1,790
"Araracuara 7","Tierras bajas orientales","Herrera, et al. 1980-1981",-0.613419064,-72.39721446,0,0,1,0,0,1,1610
"Arboledas","Valles alto Calima y alto y medio del Cauca","Gähwiler, 1988",3.673610658,-76.57370732,1,0,0,0,0,1,680
"Armenia","Valles alto Calima y alto y medio del Cauca","Correal, 1980",6.120,-75.800,1,0,0,0,0,1,830
"Armenia-Mantequilla","Valles alto Calima y alto y medio del Cauca","Bernal, 1997",4.540,-75.710,1,0,0,0,0,1,320
"Barca de Yotoco","Valles alto Calima y alto y medio del Cauca","Bray, & Moseley 1970; Sampson, et al. 1976",,,5,0,1,0,0,6,820; 900; 940; 1100; 1175; 1770
"Barlovento","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Reichel-Dolmatoff, 1965; Angulo, 1995",10.507606,-75.499558,0,4,0,0,0,4,-1520; -1460; -1190; -1030
"Barrancabermeja","Magdalena medio","López, en prensa",,,0,0,0,1,0,1,-5100
"Barranquilla","Alto Magdalena","Drennan, 1993",2.1902142,-76.08637,3,0,0,1,0,4,-5275; 365; 385; 1345
"Belén Altavista La Perla","Macizo Antioqueño","Castillo, 1995",,,0,0,1,0,0,1,1620
"Betania","Alto Magdalena","Llanos, 1993",1.921855367,-76.25963783,1,0,0,0,0,1,-360
"Bocana I","Costa Pacífica","Salgado, & Stemper, 1991; Salgado, et al. 1995",3.45,-76.59,6,1,0,0,0,7,-670; -380; -100; -55; -45; 215; 355
"Bocana III","Costa Pacífica","Salgado, et al. 1995",3.8024,-77.17625,0,1,0,0,0,1,-565
"Bojacá","Altiplano Cundiboyacense","Reichel-Dolmatoff, 1986",,,1,0,0,0,0,1,1420
"Bomboná","Macizo Andino del sur","Cárdenas, 1996",,,1,0,0,0,0,1,1125
"Bucarelia","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Reichel-Dolmatoff, en Stuiver 1969",9.41,-74.48,1,0,0,0,0,1,960
"Buena Vista","Costa Pacífica","Patiño, 1989",2.070,-78.700,3,0,0,0,0,3,70; 420; 490
"Buenavista (Huila).","Alto Magdalena","Moreno 1995",,,1,0,0,0,0,1,-200
"Buenos Aires","Alto Magdalena","Drennan, 1993",2.19445,-76.0724,3,1,0,0,0,4,-3735; -425; 1185; 1350
"Bura","Altiplano Cundiboyacense","Pérez, 1988; Peña 1991",6.068416,-72.7356305,1,0,0,0,0,1,240
"Buritaca 200","Sierra Nevada","Herrera, Luisa Fernanda 1980; Cadavid, 1986;1982",11.04401436,-73.9280923,4,0,1,0,0,5,1000; 1090; 1360; 1550; 1635
"Buritaca 204","Sierra Nevada","Cardoso, Patricia 1986",11.19,-74.04,2,0,0,0,0,2,660; 1160
"Busbazá LP-I , Vereda La Puerta","Altiplano Cundiboyacense","Archila, 1986",5.818780289,-72.90217104,1,0,0,0,0,1,840
"Caballo","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1988.También en Peña 2001",10.57053578,-75.088661,4,0,0,0,0,4,860; 1050; 1150; 1280
"Cabo de la Vela","Peninsula de la Guajira y corredor del Cesar","Rodríguez &. Bashilov 1988; Herrera, Cardale &  Bray 1990; Cardale, Bray & Herrera, 1989; Salgado1988; 1989;1993; Salgado, Rodríguez & Bashilov 1993.",3.900312346,-76.43825938,6,0,0,0,0,6,370; 650; 860; 1020; 1330; 1550
"Cálamo","Alto Magdalena","Llanos, 1990",1.863418845,-76.04812704,2,0,0,0,0,2,-250; 520
"Campo Alegre Tasajeras","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1978; Archila 1993",10.96,-74.3825,1,0,0,0,0,1,950
"Canapote","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Bischof, 1966;1972; Angulo, 1995",10.440022,-75.521144,0,2,0,0,0,2,-1940; -1780
"Cancha Fútbol","Magdalena medio","Cavelier, et al.1995",3.7137,-74.5841,1,0,0,0,0,1,1415
"Candelaria La Nueva","Altiplano Cundiboyacense","Cifuentes & Moreno 1987; Goggel 1989; Therrien & Enciso, 1991;  Cárdenas 1993",,,2,0,0,0,0,2,1175; 1250
"Cangarú","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Murdy, 1986; Reichel-Dolmatoff, 1985; Archila, 1991; 1993",10.99,-74.30,1,0,0,0,0,1,965
"Caño Bombay","Tierras bajas orientales","Giraldo, 1988",6.0531416,-69.68457,1,0,0,0,0,1,1183
"Japón 1","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, et al. 1993",8.680830811,-74.96024584,4,0,0,0,0,4,450; 530; 600; 1505
"Cantarrana","Valles alto Calima y alto y medio del Cauca","Jaramillo, 1989",4.91322882,-75.62070950,1,0,0,0,0,1,1040
"Carate 15","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, et al. 1993",8.634612198,-75.1139284,1,0,0,0,0,1,680
"Carate 19","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas,  Falchetti, Sáenz  & Archila 1993; Plazas,  Falchetti, van der Hammen & Botero 1988",8.62329151,-75.121527,3,0,0,0,0,3,-330; 580; 965
"Carate 25","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas,  Falchetti, Sáenz  & Archila 1993; Plazas,  Falchetti, van der Hammen & Botero 1988",8.574886523,-75.13638132,3,1,0,0,0,4,-750; 760; 1010; 1270
"Carate 26","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas,  Falchetti, Sáenz  & Archila 1993; Plazas,  Falchetti, van der Hammen & Botero 1988",8.626894197,-75.12644269,4,0,0,0,0,4,380; 650; 1060; 1230
"Carrizal","Montaña Santandereana","Uribe, 1990",,,2,0,0,0,0,2,1268; 1347
"Catanguero","Costa Pacífica","Reichel-Dolmatoff, 1965",,,1,0,0,0,0,1,-250
"Cecilio","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1978",10.7924527,-74.4969416,1,0,0,0,0,1,990
"Ceilán","Valles alto Calima y alto y medio del Cauca","Bray, et al. 1987;1988; Cardale,  Bray &  Herrera 1989",3.888048484,-76.484543,2,0,0,0,0,2,1440; 1520
"Checua","Altiplano Cundiboyacense","Groot, 1992",5.124049095,-73.88088453,1,0,0,1,0,2,-6250; 1170
"Chía I","Altiplano Cundiboyacense","Ardila, 1984",4.890,-74.02500,0,1,0,0,0,1,-1170
"Chía II","Altiplano Cundiboyacense","Ardila, 1984",4.88950,-74.02150,1,0,0,0,0,1,-140
"Chía III","Altiplano Cundiboyacense","Ardila, 1984",4.88312,-74.02469,0,1,0,0,0,1,-3090
"Chinchiná","Valles alto Calima y alto y medio del Cauca","Santos, 1994",,,2,0,0,0,0,2,860; 1410
"Chisacá","Altiplano Cundiboyacense","Falchetti, 1979",,,1,0,0,0,0,1,1110
"Cinto","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Oyuela, 1985; 1986",11.32972136,-74.05984835,2,0,0,0,0,2,430; 430
"Ciudad Antigua","Sierra Nevada","Campo, 1995",,,1,0,0,0,0,1,1500
"Cogollo","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, et al. 1993",8.752904745,-74.98949236,1,0,0,0,0,1,-130
"Colorados","Magdalena medio","Castaño, &  Davila,1984",5.488994,-74.612327,1,0,0,0,0,1,1130
"Córdoba","Valles alto Calima y alto y medio del Cauca","Bruhns, 1976",,,2,0,0,0,0,2,1100; 1400
"Corte Montículo","Macizo Antioqueño","Girón, 1985",,,1,0,0,0,0,1,490
"Cortijo de los Calimas","Valles alto Calima y alto y medio del Cauca","Bray, et al., 1981",3.902969,-76.537989,0,0,1,0,0,1,1640
"Cota","Altiplano Cundiboyacense","McBride,  1991",,,0,0,0,0,0,0,
"Cueva del Caucho","Montaña Santandereana","Uribe, 1990",,,1,0,0,0,0,1,1230
"Cueva El Conde","Montaña Santandereana","Uribe, 1990",,,2,0,0,0,0,2,1090; 1450
"Cueva La Antigua","Montaña Santandereana","Peña, 1991, cita a Bray s.p.",,,4,0,0,0,0,4,-210; 280; 582; 615
"Cupica IV","Costa Pacífica","Reichel-Dolamtoff, 1962",6.422,-77.3010,1,0,0,0,0,1,1227
"El Abra 2","Altiplano Cundiboyacense","Correal, et al. 1977; Hurt 1967-69, Hurt et al. 1976.",5.02000,-73.96000,0,0,0,2,0,2,-10450; -8770
"El Aguacate","Alto Magdalena","Chaves, & Puerta, 1986; Chaves 1991",1.529772,-78.651467,1,0,0,0,0,1,850
"El Balsal","Costa Pacífica","Bouchard, 1983",1.687108,-78.746886,1,0,0,0,0,1,50
"El Bosque","Magdalena medio","Cavelier, et al.1995",5.556540628,-74.87012155,2,0,0,0,0,2,395; 1140
"El Cabrero","Uraba, alto Sinú","Botiva, et al. 1991",8.15406710,-76.09789402,3,0,0,0,0,3,290; 480; 890
"El Cangrejo","Altiplano Cundiboyacense","Therrien, 1991",5.550,-73.680,0,0,1,0,0,1,1730
"El Carmen","Valles alto Calima y alto y medio del Cauca","Rodríguez, et al. 1994",3.79105,-76.339408,4,0,0,0,0,4,790; 870; 1130; 1180
"El Consuelo","Magdalena medio","Botiva, et al. 1994",,,0,1,0,0,0,1,-850
"El Dorado","Valles alto Calima y alto y medio del Cauca","Bray, et al. 1985; 1986; Piperno 1985; Wassen 1976; Bray, Herrera & Cardale 1988; Herrera, Cardale & Bray 1990. Cardale, Bray & Herrera 1989.",3.841184836,-76.45324783,8,0,0,3,0,11,-23350; -21800; -4730; 100; 150; 210; 750; 790; 1160; 1390; 1465
"El Estorbo I","Uraba, alto Sinú","Méndez, 1980; Otero et al, 1990. Botiva et al., 1991; Neyla 1988 Botiva & Santos 197.; Santos 1986; 1989; Archila 1993;",8.147329205,-76.72740456,6,0,0,0,0,6,-350; -225; 280; 420; 895; 1025
"El Estrecho","Alto Magdalena","Cubillos, 1980; Duque & Cubillos, 1988:105",1.93885,-76.31576,1,0,0,0,0,1,194
"El Gallo I","Uraba, alto Sinú","Botiva, et al. 1991",8.180,-76.070,1,0,0,0,0,1,1000
"El Infiernito","Altiplano Cundiboyacense","Silva, 1981; Boada; Mora  & Therrien 1988; Boada; Therrien &  Mora 1989",5.647698531,-73.56299326,2,2,0,0,0,4,-930; -540; -230; 1035
"El Japón","Llanuras del Caribe cuencas bajas Sinú y San Jorge","",,,0,0,0,0,0,0,
"El Japón-Marusa","Llanuras del Caribe cuencas bajas Sinú y San Jorge","",,,0,0,0,0,0,0,
"El Man","Magdalena medio","Botiva, et al. 1994",7.967580021,-75.19924161,1,0,0,0,0,1,570
"El Mondey","Alto Magdalena","Moreno, 1988; 1991,  Ver reseña de Boada 1990 a Moreno 1991.",2.026763173,-76.12172127,3,0,0,0,0,3,-260; 20; 1090
"El Morro","Costa Pacífica","Bouchard, 1983",1.829828,-78.733311,1,0,0,0,0,1,430
"El Palmar","Peninsula de la Guajira y corredor del Cesar","Ardila, 1983",10.920,-72.820,6,0,1,0,1,8,-470; -90; 585; 930; 1010; 1120; 1660; 1950
"El Parador","Alto Magdalena","Cubillos,1980",1.92049312,-76.24759607,2,0,0,0,0,2,-10; 25
"El Pital","Valles alto Calima y alto y medio del Cauca","Salgado, 1986;1989;1995; Salgado; Osorio & Gutierrez 1986; Cardale, 1986; Cardale; Bray & Herrera 1989; Herrera;  Bray; Cardale & Botero 1992; Gnecco & Salgado 1989.",3.83,-76.60,1,2,0,1,0,4,-5360; -2790; -2140; -310
"El Pozón","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, & Falchetti 1986",8.710556,-75.157608,0,1,0,0,0,1,-1700
"El Prodigio","Magdalena medio","Rodríguez, 1989; 1991,1995.",3.655051578,-75.6406405,0,1,0,1,0,2,-5420; -3650
"El Ranchito","Macizo Antioqueño","Piazzini 1993; Castillo, 1992",,,1,0,0,0,0,1,270
"El Recreo","Valles alto Calima y alto y medio del Cauca","Herrera, et al. 1992; Herrera; Cardale & Bray 1990; Gnecco & Salgado 1989;",3.85955,-76.49560,0,0,0,3,0,3,-6800; -6030; -5880
"El Rosario","Valles alto Calima y alto y medio del Cauca","Forero, 1993",3.4914,-76.0034,1,0,0,0,0,1,1400
"El Tamarindo","Costa Pacífica","Patiño, 1987;1988.",2.774795419,-77.6662786,1,0,0,0,0,1,-140
"El Tambo","Macizo Andino del sur","Uribe, 1978; 1992:9",6.705556,-76.083889,1,0,0,0,0,1,1120
"El Tiestero","Macizo Antioqueño","Santos, 1994; Botero & Vélez, 1995",6.270,-75.660,2,0,0,0,0,2,410; 520
"El Topacio","Valles alto Calima y alto y medio del Cauca","Cardale, 1987; Cardale et al., 1989; Bray et al., 1987;1988. Herrera et al., 1990.",3.931296892,-76.45615231,5,1,0,0,0,6,-720; -500; -300; -160; 240; 840
"El Venado III","Altiplano Cundiboyacense","Boada; Therrien & S. Mora 1989",5.503394,-73.518838,2,0,0,0,0,2,940; 1390
"El Volador","Macizo Antioqueño","Bermudez, 1995; Santos, 1995:Piazzini 1993; Castillo, 1992",6.270,-75.580,8,0,1,0,0,9,0; 150; 300; 360; 1000; 1420; 1470; 1530; 1620
"Frasquillo","Uraba, alto Sinú","Botiva, et al. 1991",8.180,-76.070,2,0,0,0,0,2,380; 960
"Fúquene ","Altiplano Cundiboyacense","Uribe, 1990",,,0,0,0,0,0,0,
"Gachalá","Altiplano Cundiboyacense","Correal, 1979",,,0,0,0,1,0,1,-7410
"Galíndez","Alto Magdalena","Patiño, & Gnecco, 1992",,,0,0,0,0,1,1,1810
"Girardot","Magdalena medio","Correal, 1993",,,0,0,0,1,0,1,-14450
"Guabas","Valles alto Calima y alto y medio del Cauca","Rodríguez en Herrera, 1984;  Bray 1989; Rodríguez 1985",3.764201354,-76.30370005,2,0,0,0,0,2,-140; 1120
"Guacanas","Alto Magdalena","Llanos, 1993",2.15,-75.40,2,0,0,0,0,2,50; 90
"Guácharos I","Alto Magdalena","Correal, & van der Hammen, 1984",1.5245,-76.090,2,0,0,0,0,2,-25; 655
"Guaduero","Magdalena medio","Hernandez, & Caceres, 1989",5.19000,-74.60000,2,0,0,0,0,2,-230; 480
"Guaiqurí","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, et al. 1981, cita a Reines s.p.",,,1,0,0,0,1,2,1510; 1950
"Guájaro","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1986; Peña 2001 - zooarqueología.",,,1,0,0,0,0,1,1280
"Guájaro-Rotinet","Llanuras del Caribe cuencas bajas Sinú y San Jorge","",,,0,0,0,0,0,0,
"Guapotá","Montaña Santandereana","Sutherland, 1971",,,1,0,0,0,0,1,1320
"Guasca","Altiplano Cundiboyacense","Uribe, 1990",,,2,0,0,0,0,2,800; 1050
"Guatavita ","Altiplano Cundiboyacense","Falchetti, 1979; Reichel-Dolmatoff 1986; Uribe, 1990",,,0,0,0,0,0,0,
"Guayabal","Alto Magdalena","Patiño, & Gnecco, 1992",5.7025,-75.315,2,0,0,0,0,2,1080; 1470
"Guayabito-Yacimiento 11","Tierras bajas orientales","Múnera; Monsalve & Botero 1997",6.05521142,-76.76982646,0,1,0,0,0,1,-2230
"Guayabero I","Tierras bajas orientales","Correal, et al. 1990; Botiva 1986",2.56983467,-71.08801912,1,2,0,2,0,5,-5300; -5300; -1710; -1550; -285
"Imbilí","Costa Pacífica","Reichel-Dolmatoff, 1965",,,1,0,0,0,0,1,1000
"Inguapí","Costa Pacífica","Bouchard, 1983",1.698478,-78.755931,7,0,0,0,2,9,-325; -270; -240; -100; -50; 90; 1075; 1820; 1845
"Irique","Tierras bajas orientales","Mora, & Cavelier, 1985",3.428911,-73.631451,0,0,1,0,0,1,1630
"Jolón","Llanuras del Caribe cuencas bajas Sinú y San Jorge","",,,0,0,0,0,0,0,
"Jongovito","Macizo Andino del sur","Groot, 1991",1.179571005,-77.3079592,1,0,0,0,0,1,500
"La  Guayabala","Macizo Antioqueño","",,,0,0,0,0,0,0,
"La Aguada","Valles alto Calima y alto y medio del Cauca","Otero, 1992; Bermudez, 1995:59",5.920,-75.690,1,0,0,0,0,1,380
"La Alsacia","Valles alto Calima y alto y medio del Cauca","Bray, et al. 1981; Rodríguez, et al. 1994.",3.791042,-76.330408,3,0,0,0,0,3,-195; 940; 970
"La Amapola","Valles alto Calima y alto y medio del Cauca","Gähwiler, 1988; 1989",3.65847032,-76.58523671,4,0,0,0,0,4,710; 890; 920; 1330
"La Asomada","Altiplano Cundiboyacense","Boada, et al. 1989",,,1,0,0,0,0,1,1050
"La Aurora","Valles alto Calima y alto y medio del Cauca","Bray, et al. 1981",3.83,-76.55,1,0,0,0,0,1,-395
"La Balsa","Valles alto Calima y alto y medio del Cauca","Méndez, 1980; Gnecco & Salgado 1989",2.573652275,-76.65021312,0,2,0,0,0,2,-1120; -600
"La Balsa","Valles alto Calima y alto y medio del Cauca","",2.594053,-76.11024,0,2,0,0,0,2,-1120; -600
"La Bolivia","Valles alto Calima y alto y medio del Cauca","Gähwiler-Walder 1988; 1989",3.650372722,-76.57768065,1,0,0,0,0,1,1150
"La Cocotera","Costa Pacífica","Patiño, 1988; 1988; 1987; 1987; 1995",2.849393469,-77.67773736,1,2,0,0,0,3,-1250; -540; 110
"La Elvira","Valles alto Calima y alto y medio del Cauca","Gnecco & Illera 1989; Gnecco & Salgado 1989; Gnecco & Mohammed 1994; Gnecco 1997; Gnecco 7 Mora 1997; Mora & Gnecco 2003",2.5062472,-76.5583472,4,3,0,1,0,8,-3650; -2930; -760; -30; 390; 390; 470; 700
"La Escocia","Valles alto Calima y alto y medio del Cauca","Gähwiler-Walder 1988",3.660,-76.580,0,1,0,0,0,1,-4150
"La Esperanza","Macizo Andino del sur","Groot 1991",1.02,-77.51,1,0,0,0,0,1,1410
"La Estación","Alto Magdalena","Duque, & Cubillos, 1981",1.81063,-76.28998,1,0,0,0,0,1,405
"La Estrella","Sierra Nevada","Herrera 1985; Reichel-Dolmatoff 1986",11.0875027,-73.9363083,2,0,0,0,0,2,970; 1550
"La Ferrería","Macizo Antioqueño","",,,0,0,0,0,0,0,
"La Gaitana","Alto Magdalena","Llanos, & Durán, 1983",,,1,0,0,0,0,1,15
"La Hormiga","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas; Falchetti; Sáenz & Archila 1993",8.708061,-74.9117916,2,0,0,0,0,2,250; 310
"La Iberia","Valles alto Calima y alto y medio del Cauca","Bray, et al. 1981",,,2,1,0,0,0,3,-1590; -170; 1590
"La Isla","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1983; Archila 1991; Santos & Ortiz-Troncoso 1986.",10.79414975,-75.22296323,1,0,0,0,0,1,255
"La Julia","Alto Magdalena","Drennan, 1993",2.148669,-76.064511,0,0,0,0,1,1,1855
"La Llanada","Valles alto Calima y alto y medio del Cauca","Salgado, 1986",4.355374176,-76.29088383,3,0,0,0,0,3,740; 950; 960
"La Loma","Altiplano Cundiboyacense","Garcia, & Gutierrez, 1985",4.797192,-74.289294,0,0,1,0,0,1,1640
"La Magnolia","Costa Pacífica","Patiño, 1993",1.661617094,-78.74732656,2,0,0,0,0,2,-470; -370
"La Maporita","Tierras bajas orientales","López, et al. 1993; Peña, 1992.",5.17409250,-72.55414952,1,1,0,0,0,2,-1670; 390
"La Marcela","Alto Magdalena","Patiño, & Gnecco, 1992",,,1,0,0,0,0,1,1290
"La Mireya","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Reichel-Dolmatoff, 1986; Plazas, Falchetti; Sáenz & Archila 1993; Plazas & Falchetti 1981",8.04251,-75.48144,1,0,0,0,0,1,905
"La Muela","Altiplano Cundiboyacense","Pradilla, et al. 1991; Pradilla, Villate & Ortiz 1990;1992.",5.55000,-73.36000,3,0,1,0,0,4,-150; -150; 670; 1730
"La Pedregosa 1","Magdalena medio","López, 1991",6.051591,-74.11050,1,0,0,0,0,1,1100
"La Pedrera","Tierras bajas orientales","Hildebrand, &  Reichel, 1985",-1.317514,-69.587694,3,0,0,0,0,3,560; 560; 1110
"La Primavera","Valles alto Calima y alto y medio del Cauca","Bray, & Moseley 1970",4.631964,-72.1191104,1,0,0,0,0,1,1250
"La Ribera","Magdalena medio","Chacín, 1993",3.738019,-75.6727,1,0,0,0,0,1,1460
"La Selva (Risaralda).","Valles alto Calima y alto y medio del Cauca","Patiño, 1996; 1996.",5.01510560,-75.74560566,4,1,0,2,0,7,-7540; -5735; -3875; 330; 420; 690; 990
"La Sofía","Valles alto Calima y alto y medio del Cauca","Gähwiler 1983; 1989",4.500,-76.280,1,0,0,0,0,1,1050
"La Soledad","Valles alto Calima y alto y medio del Cauca","Salgado, 1986 cita a Plazas & Falchetti.",5.54925,-75.135,1,0,0,0,0,1,430
"La Suiza","Valles alto Calima y alto y medio del Cauca","Herrera, et al. 1982-83; Bray, et al. 1981; Scott 1981",3.849881459,-76.47484737,2,1,0,0,0,3,-2940; 1190; 1280
"La Tebaida","Valles alto Calima y alto y medio del Cauca","Bruhns, 1976",,,2,0,0,0,0,2,1050; 1120
"La Victoria","Macizo Andino del sur","Uribe, 1978; 1992:9;",,,1,0,0,0,0,1,1440
"La Virginia","Valles alto Calima y alto y medio del Cauca","Bray 1981; Bray, et al. 1981; Gahwiler 1989.",3.570,-76.510,1,0,0,0,0,1,610
"Laguna baja","Valles alto Calima y alto y medio del Cauca","Jaramillo, 1989",4.90520225,-75.35516720,0,0,0,0,1,1,1895
"Landázuri, Loma del Colegio","Magdalena medio","Lleras, 1988",6.2211642,-73.81427542,1,0,0,0,0,1,1490
"Las Animas","Sierra Nevada","Herrera, 1985",11.13622145,-73.92255203,1,1,0,0,0,2,-1430; 580
"Las Cruces","Macizo Andino del sur","Plazas1977-78 y Uribe 1976, 1977-78. Ver crítica en Salgado et al. 1995 y sobre la secuencia Capulí-Piartal-Tuza ver Cárdenas 1989, 1992; Doyon(1993. Uribe 1992. Cárdenas,1996.",0.853887611,-77.58939248,2,0,0,0,0,2,45; 1080
"Las Delicias-Bogotá","Altiplano Cundiboyacense","Enciso, 1989; 1991;1993; Cárdenas 1996; Delgado 1996",4.610,-74.220,2,0,0,0,0,2,770; 940
"Las Delicias-Timbiquí","Costa Pacífica","Patiño, 1987;1988",2.82459354,-77.71972256,1,0,0,0,0,1,-190
"Las Mercedes","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Reichel-Dolmatoff, 1965: 122-30 en Stuiver 1969",5.752778,-75.271389,1,0,0,0,0,1,590
"Las Palmas 1","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, et al. 1993; Plazas, et al. 1979; Plazas et al., 1981:14,98",8.747911303,-74.99829436,2,0,1,0,0,3,1305; 1415; 1640
"Limoncito","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Plazas, et al. 1993; Plazas; Falchetti; Sáenz & Archila 1993",8.6056138,-74.960072,1,0,0,0,0,1,780
"Llanadas","Alto Magdalena","Ordoñez, 1995",,,2,0,0,0,0,2,570; 570
"LLano Los Gallos","Montaña Santandereana","Uribe, 1990",,,1,0,0,0,0,1,1569
"Loma de López","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1978; Archila 1993.",10.78047203,-74.26606433,2,0,0,0,0,2,1005; 1005
"Loreto Yacu","Tierras bajas orientales","Bolian, 1972",,,0,0,0,0,0,0,
"Los Jagueyes","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1978",10.967258,-74.374139,1,0,0,0,0,1,335
"Los Santos","Montaña Santandereana","Sutherland, 1971",,,1,0,0,0,0,1,1185
"Los Santos-Los Teres","Montaña Santandereana","Cadavid, 1984",6.730,-73.130,1,0,0,0,0,1,1160
"Los Solares","Altiplano Cundiboyacense","Uribe, 1990",,,4,0,0,0,0,4,310; 310; 600; 1100
"Lusitania","Valles alto Calima y alto y medio del Cauca","Monsalve 1985; Herrera et al. 1987;1992:",3.86832,-76.4665527,1,1,0,0,0,2,-3200; 480
"Lusitania","Valles alto Calima y alto y medio del Cauca","Monsalve, 1985; Uribe, 1990",,,1,1,0,0,0,2,-3200; 480
"Maceo Torre","Macizo Antioqueño","Mejía, et al. 1992 en Piazzini 1994",,,1,0,0,0,0,1,1080
"Maina","Costa Pacífica","Patiño, 1989; 1991",1.9931,-78.631583,1,0,0,0,0,1,880
"Malagana","Valles alto Calima y alto y medio del Cauca","Botiva, & Forero, 1991;  Herrera, Cardale & Bray, 1994; Herrera, Cardale & Rodríguez, 1994; Cardale & Herrera 1994; Archila 1996; Bray;  Herrera & Cardalel 1998;",3.487001262,-76.35342885,1,0,0,0,0,1,70
"Malambo","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1962; 1981; 1995:28; Archila 1991",10.8597475,-74.77687409,3,1,0,0,0,4,-1120; 60; 565; 680
"María Jacinta","Llanuras del Caribe cuencas bajas Sinú y San Jorge","Angulo, 1983; Archila 1991",10.64979975,-75.17253093,2,0,0,0,0,2,415; 1050
"Maridíaz","Macizo Andino del sur","Cárdenas, 1992",1.187222,-77.2831101,0,0,2,0,0,2,1615; 1720
"Marín","Altiplano Cundiboyacense","Boada, 1984; 1987;1988; 1998; Boada et al, 1989; Boada et al, 1989a.",5.538142,-73.483989,2,0,0,0,0,2,1250; 1350
